filename, language, JSON, JSON with Comments, Ini, Lua, XML, Papyrus, HLSL, comment, blank, total
_bin\soltest\data\forms\_meta\character.json, JSON, 22, 0, 0, 0, 0, 0, 0, 0, 0, 22
_bin\soltest\data\forms\_meta\formtypedecl_main.json, JSON, 94, 0, 0, 0, 0, 0, 0, 2, 1, 97
_bin\soltest\data\forms\_meta\schema\anchor.json, JSON, 20, 0, 0, 0, 0, 0, 0, 0, 0, 20
_bin\soltest\data\forms\_meta\schema\appearance.json, JSON, 18, 0, 0, 0, 0, 0, 0, 0, 0, 18
_bin\soltest\data\forms\_meta\schema\character.json, JSON, 42, 0, 0, 0, 0, 0, 0, 0, 0, 42
_bin\soltest\data\forms\_meta\schema\damage.json, JSON, 13, 0, 0, 0, 0, 0, 0, 0, 0, 13
_bin\soltest\data\forms\_meta\schema\dynamicmodel.json, JSON, 28, 0, 0, 0, 0, 0, 0, 0, 0, 28
_bin\soltest\data\forms\_meta\schema\form.json, JSON, 29, 0, 0, 0, 0, 0, 0, 0, 2, 31
_bin\soltest\data\forms\_meta\schema\formdeclaration.json, JSON, 37, 0, 0, 0, 0, 0, 0, 0, 1, 38
_bin\soltest\data\forms\_meta\schema\material.json, JSON, 35, 0, 0, 0, 0, 0, 0, 0, 0, 35
_bin\soltest\data\forms\_meta\schema\material_eye.json, JSON, 25, 0, 0, 0, 0, 0, 0, 0, 1, 26
_bin\soltest\data\forms\_meta\schema\material_model.json, JSON, 202, 0, 0, 0, 0, 0, 0, 0, 1, 203
_bin\soltest\data\forms\_meta\schema\modelpath.json, JSON, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5
_bin\soltest\data\forms\_meta\schema\movementtype.json, JSON, 15, 0, 0, 0, 0, 0, 0, 0, 0, 15
_bin\soltest\data\forms\_meta\schema\proceduraloperation.json, JSON, 99, 0, 0, 0, 0, 0, 0, 0, 1, 100
_bin\soltest\data\forms\_meta\schema\projectile.json, JSON, 21, 0, 0, 0, 0, 0, 0, 0, 1, 22
_bin\soltest\data\forms\_meta\schema\prop.json, JSON, 11, 0, 0, 0, 0, 0, 0, 0, 0, 11
_bin\soltest\data\forms\_meta\schema\tool.json, JSON, 19, 0, 0, 0, 0, 0, 0, 0, 0, 19
_bin\soltest\data\forms\_meta\schema\vector3.json, JSON, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
_bin\soltest\data\forms\anchors\debugsystem.json, JSON, 13, 0, 0, 0, 0, 0, 0, 0, 0, 13
_bin\soltest\data\forms\anchors\earth.json, JSON, 10, 0, 0, 0, 0, 0, 0, 0, 0, 10
_bin\soltest\data\forms\anchors\gensokyo.json, JSON, 15, 0, 0, 0, 0, 0, 0, 2, 0, 17
_bin\soltest\data\forms\anchors\human_village.json, JSON, 15, 0, 0, 0, 0, 0, 0, 2, 0, 17
_bin\soltest\data\forms\anchors\msys.json, JSON, 12, 0, 0, 0, 0, 0, 0, 0, 0, 12
_bin\soltest\data\forms\anchors\othersystem.json, JSON, 13, 0, 0, 0, 0, 0, 0, 0, 0, 13
_bin\soltest\data\forms\anchors\planet_location_test.json, JSON, 15, 0, 0, 0, 0, 0, 0, 0, 0, 15
_bin\soltest\data\forms\anchors\sol.json, JSON, 12, 0, 0, 0, 0, 0, 0, 0, 0, 12
_bin\soltest\data\forms\anchors\spacelab.json, JSON, 13, 0, 0, 0, 0, 0, 0, 0, 0, 13
_bin\soltest\data\forms\apparel\armw.json, JSON, 15, 0, 0, 0, 0, 0, 0, 0, 0, 15
_bin\soltest\data\forms\apparel\boots.json, JSON, 16, 0, 0, 0, 0, 0, 0, 0, 0, 16
_bin\soltest\data\forms\apparel\cape_0.json, JSON, 13, 0, 0, 0, 0, 0, 0, 0, 0, 13
_bin\soltest\data\forms\apparel\clt_armw.json, JSON, 15, 0, 0, 0, 0, 0, 0, 0, 0, 15
_bin\soltest\data\forms\apparel\clt_headphones.json, JSON, 10, 0, 0, 0, 0, 0, 0, 0, 0, 10
_bin\soltest\data\forms\apparel\clt_pants.json, JSON, 12, 0, 0, 0, 0, 0, 0, 0, 0, 12
_bin\soltest\data\forms\apparel\clt_top.json, JSON, 12, 0, 0, 0, 0, 0, 0, 0, 0, 12
_bin\soltest\data\forms\apparel\coat.json, JSON, 15, 0, 0, 0, 0, 0, 0, 0, 0, 15
_bin\soltest\data\forms\apparel\collar.json, JSON, 14, 0, 0, 0, 0, 0, 0, 0, 0, 14
_bin\soltest\data\forms\apparel\flashlight.json, JSON, 19, 0, 0, 0, 0, 0, 0, 0, 1, 20
_bin\soltest\data\forms\apparel\hat_0.json, JSON, 13, 0, 0, 0, 0, 0, 0, 0, 0, 13
_bin\soltest\data\forms\apparel\jh_dress.json, JSON, 13, 0, 0, 0, 0, 0, 0, 0, 0, 13
_bin\soltest\data\forms\apparel\jh_shoes.json, JSON, 12, 0, 0, 0, 0, 0, 0, 0, 0, 12
_bin\soltest\data\forms\apparel\jh_sk.json, JSON, 13, 0, 0, 0, 0, 0, 0, 0, 0, 13
_bin\soltest\data\forms\apparel\legw.json, JSON, 16, 0, 0, 0, 0, 0, 0, 0, 0, 16
_bin\soltest\data\forms\apparel\rgloves.json, JSON, 14, 0, 0, 0, 0, 0, 0, 0, 0, 14
_bin\soltest\data\forms\apparel\rhands.json, JSON, 13, 0, 0, 0, 0, 0, 0, 0, 0, 13
_bin\soltest\data\forms\apparel\scarf_0.json, JSON, 20, 0, 0, 0, 0, 0, 0, 4, 0, 24
_bin\soltest\data\forms\apparel\socks_0.json, JSON, 15, 0, 0, 0, 0, 0, 0, 0, 0, 15
_bin\soltest\data\forms\apparel\st_dress.json, JSON, 13, 0, 0, 0, 0, 0, 0, 0, 0, 13
_bin\soltest\data\forms\apparel\tst_hvs.json, JSON, 12, 0, 0, 0, 0, 0, 0, 0, 0, 12
_bin\soltest\data\forms\apparel\ud_bot.json, JSON, 13, 0, 0, 0, 0, 0, 0, 0, 0, 13
_bin\soltest\data\forms\apparel\ud_top.json, JSON, 13, 0, 0, 0, 0, 0, 0, 0, 0, 13
_bin\soltest\data\forms\apparel\uniform_0.json, JSON, 15, 0, 0, 0, 0, 0, 0, 0, 0, 15
_bin\soltest\data\forms\apparel\uniform_1.json, JSON, 14, 0, 0, 0, 0, 0, 0, 0, 0, 14
_bin\soltest\data\forms\apparel\uniform_2.json, JSON, 15, 0, 0, 0, 0, 0, 0, 0, 0, 15
_bin\soltest\data\forms\apparel\uniform_3.json, JSON, 24, 0, 0, 0, 0, 0, 0, 0, 0, 24
_bin\soltest\data\forms\apparel\visor.json, JSON, 14, 0, 0, 0, 0, 0, 0, 0, 0, 14
_bin\soltest\data\forms\characters\anthro.feline_base.json, JSON, 27, 0, 0, 0, 0, 0, 0, 0, 2, 29
_bin\soltest\data\forms\characters\ara.json, JSON, 45, 0, 0, 0, 0, 0, 0, 20, 3, 68
_bin\soltest\data\forms\characters\testrace.json, JSON, 11, 0, 0, 0, 0, 0, 0, 0, 1, 12
_bin\soltest\data\forms\characters\vikna.json, JSON, 30, 0, 0, 0, 0, 0, 0, 1, 1, 32
_bin\soltest\data\forms\classes\classlist.json, JSON, 15, 0, 0, 0, 0, 0, 0, 9, 3, 27
_bin\soltest\data\forms\classes\material.json, JSON, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5
